Matchup,Venue,City,Game Time (UTC),Temp (°F),Rain Chance (%),Wind (mph),Forecast
Toronto Blue Jays @ Chicago White Sox,Rate Field,,18:10,,,,Unknown Stadium—No Data
Los Angeles Dodgers @ Milwaukee Brewers,American Family Field,,18:10,,,,Dome—No Weather Impact
Philadelphia Phillies @ San Francisco Giants,Oracle Park,Emeryville,19:45,57,0,3 mph,Slight Chance Drizzle
Tampa Bay Rays @ Detroit Tigers,Comerica Park,Hamtramck,21:10,75,46,5 mph,Scattered Showers And Thunderstorms
New York Mets @ Baltimore Orioles,Oriole Park at Camden Yards,Baltimore,23:05,80,10,2 mph,Partly Sunny
Seattle Mariners @ New York Yankees,Yankee Stadium,Fort Lee,23:05,78,4,5 mph,Partly Sunny
Colorado Rockies @ Boston Red Sox,Fenway Park,Cambridge,23:10,70,69,3 mph,Patchy Fog
Miami Marlins @ Cincinnati Reds,Great American Ball Park,Newport,23:10,78,21,1 mph,Slight Chance Rain Showers
Pittsburgh Pirates @ Kansas City Royals,Kauffman Stadium,Raytown,23:40,72,10,1 mph,Sunny
Chicago Cubs @ Minnesota Twins,Target Field,Minneapolis,23:40,73,0,0 mph,Sunny
Washington Nationals @ St. Louis Cardinals,Busch Stadium,Brooklyn,23:45,74,8,3 mph,Mostly Sunny
Cleveland Guardians @ Houston Astros,Daikin Park,,00:10,,,,Unknown Stadium—No Data
Texas Rangers @ Los Angeles Angels,Angel Stadium,Orange,01:38,65,0,0 mph,Mostly Clear
Arizona Diamondbacks @ San Diego Padres,Petco Park,Coronado,01:40,66,0,5 mph,Partly Cloudy
Atlanta Braves @ Athletics,Sutter Health Park,West Sacramento,02:05,58,0,3 mph,Sunny
